Season,Name,Team,PA,O-Swing%,Swing%,Pull%,CStr%,CSW%,BB%+,K%+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Hard%+,OBP+,NameASCII,PlayerId,MLBAMID
2004,"Barry Bonds","SFG",617,0.1245,0.3427,0.4806,0.1241,0.1641,415.6341345191878,40.6594584655018,185.92630154785132,269.0638730692745,103.97891228423788,90.47228158313582,79.78638433599625,130.18533240315375,249.24959371600877,111.82994462001112,170.64426979208076,178.55216786103486,"Barry Bonds",1109,111188
2002,"Barry Bonds","SFG",612,0.1131,0.3662,0.4469,0.1272,0.1906,346.7063781866194,46.99732371754507,188.89735277071605,273.1329962478928,111.38529660647016,104.77136033065943,69.57166927009006,135.23176462112937,249.23024933833275,104.75465924421297,170.7302311924612,171.20435828818256,"Barry Bonds",1109,111188
2003,"Barry Bonds","SFG",550,0.199,0.402,0.476,0.1347,0.223,298.3216537900129,65.39613883465796,173.72854843010728,251.07607646165872,102.23105899367926,108.57631258323201,69.26297410323764,133.8298744080283,255.72924276442214,108.73017990515486,160.59738389000833,155.37596636896134,"Barry Bonds",1109,111188
2020,"Juan Soto","WSN",196,0.21,0.3603,0.3254,0.185,0.2503,225.61668220743218,61.82471907747998,164.9530097350293,196.93957718364717,123.84227385734646,91.10610281675793,120.46803032687865,80.71161528508777,239.99357115971915,80.01003660651219,123.89726514498058,150.6359805105893,"Juan Soto",20123,665742
2021,"Mike Trout","LAA",146,0.221,0.3951,0.4868,0.1738,0.2787,218.19693856318216,122.75133850219066,150.0802508722486,171.15965989664937,156.3484398518992,115.44376066914043,99.24026733915173,92.31990759744386,225.8855843857373,120.88608576152117,118.61513143790987,147.1398110408929,"Mike Trout",10155,545361
2012,"Joey Votto","CIN",475,0.2079,0.3772,0.2715,0.1827,0.2537,239.7683526959565,93.19156259902428,137.00675936945873,150.46296415377546,133.29733703656967,143.84233575940766,83.60005843694435,94.66317987983996,137.40200516899716,69.62233262797815,136.4000104540943,145.05762360375593,"Joey Votto",4314,458015
2018,"Mike Trout","LAA",608,0.2176,0.3755,0.4017,0.2013,0.2611,241.71515196939316,93.58860930046724,150.85144276368072,189.64810255589427,117.63697052476714,110.05192540938049,74.00496902687969,124.36346737059658,192.7325514882667,97.8147215976876,125.33401526368752,144.20137008024824,"Mike Trout",10155,545361
2021,"Juan Soto","WSN",654,0.1514,0.3499,0.3116,0.2003,0.263,241.37467024013856,63.76163392788875,127.00567257195989,128.98599996947925,112.88913053053899,88.88554873633512,123.35635566779702,78.99209952721901,178.10888829378013,77.43741334037489,119.04061301601159,142.47980309693463,"Juan Soto",20123,665742
2002,"Mike Kinkade","LAD",60,0.1927,0.4652,0.45,0.1522,0.2609,71.44252586865137,101.99419231430812,141.8490059304499,139.9767135757108,150.942159775331,152.3768472837572,79.97550624601621,93.10186874086554,140.86927064854876,105.47484759771244,100.38189876924348,142.25350893819547,"Mike Kinkade",660,136726
2020,"Freddie Freeman","ATL",262,0.2816,0.4819,0.3729,0.1038,0.191,185.24847694318913,61.11680279370098,151.98613846607682,171.1370543080183,124.87367883155392,142.6814222081092,73.88287016948276,105.33549791443659,130.9055836647581,91.68574666773675,126.47268016376117,142.0357393422811,"Freddie Freeman",5361,518692
2015,"Bryce Harper","WSN",654,0.2762,0.4467,0.4543,0.1178,0.2256,238.5806735791662,100.50164757698066,158.29946914860844,213.10534075100102,120.82290624750225,103.81788925421216,84.5747312355956,118.7729968419642,244.17142606747367,118.98880662571788,137.32628097411597,141.9960384143549,"Bryce Harper",11579,547180
2015,"Joey Votto","CIN",695,0.1911,0.373,0.3714,0.1772,0.2536,258.90626290574016,97.46049170984189,132.07663476142528,152.1770471646681,121.29367657566883,116.94428931381206,92.55886706424599,99.29507227682771,193.75792279124238,97.2620714869724,128.87950977198275,141.60981611391276,"Joey Votto",4314,458015
2007,"Barry Bonds","SFG",477,0.1186,0.3578,0.4757,0.1545,0.1987,313.40516408218696,68.84470958775263,129.53366379812783,176.60611398890313,83.4095615272651,91.76839239642446,94.1356500029878,110.46192047812917,227.05646986492843,117.09862997802433,127.0089579458992,140.30729172059597,"Barry Bonds",1109,111188
2004,"Jeremy Reed","SEA",66,0.1714,0.4273,0.3519,0.1853,0.2241,124.80404977694005,37.06044603082962,107.1896712527993,42.122005725023556,142.0624340959484,119.83036870693205,103.23177579648055,85.53459051625126,0,79.19490145171088,68.99262703057255,138.7849888518487,"Jeremy Reed",4730,430598
2008,"Chipper Jones","ATL",534,0.1494,0.399,0.3874,0.1513,0.2181,184.91889159468815,66.63023508167795,134.6257033037695,131.71463133604502,127.15514208650023,116.25460544901355,98.69569674602232,92.17531718976886,163.12717160119206,95.21311492161908,116.36172195495689,138.61117916091484,"Chipper Jones",97,116706
2011,"Miguel Cabrera","DET",688,0.3114,0.4834,0.3852,0.1156,0.1979,193.79438455556132,72.10929029094008,143.277240670312,160.3900736051234,124.02931741350795,114.23589417211146,100.29817388619966,92.12860921889342,181.67465802708892,94.65245382088932,149.66867434285888,138.49641283001677,"Miguel Cabrera",1744,408234
2011,"José Bautista","TOR",655,0.2468,0.386,0.5148,0.1729,0.2496,248.79319762497926,94.46508719626408,148.7872304375599,203.4589115735886,104.95055944596474,82.63917547114741,84.10844695954962,128.18515296037182,224.95317699875227,126.47774190089889,158.90930155289223,138.3893174605087,"Jose Bautista",1887,430832
2015,"Miguel Cabrera","DET",511,0.2952,0.4634,0.3582,0.1411,0.2368,195.899017333679,81.01869022224777,129.18077985513548,124.50748184926412,129.5408630503859,122.5338813151972,94.82186179457088,93.32360976990974,135.38669345242556,88.14489008753384,140.0610740596412,138.30102376251554,"Miguel Cabrera",1744,408234
2013,"Miguel Cabrera","DET",652,0.3312,0.5121,0.3996,0.1064,0.2026,169.6334011887252,73.23978099193454,156.84803836224071,193.32378153557536,119.2929059297449,112.99521263367953,89.1807075724654,105.45614799709398,233.8070121998931,100.53492607853237,149.77650141748236,137.62136290797955,"Miguel Cabrera",1744,408234
2018,"Mookie Betts","BOS",614,0.1977,0.3563,0.4724,0.2196,0.2699,158.9147733018644,68.01080414169117,153.71616962765572,176.3888897106644,125.1152740672792,99.85941246972648,79.9839628594054,123.35242628765073,128.9445397540183,115.01549659788446,125.40621216857615,137.4477971626948,"Mookie Betts",13611,605141
2004,"Todd Helton","COL",683,0.1812,0.4265,0.3597,0.1444,0.2042,205.53765848001197,64.50222396248839,141.84675519303875,162.72485044693587,117.8993753887639,116.87494678594852,76.46602758042603,119.14917791292707,134.87847870401458,83.69086712343923,124.47398554976259,137.27508475506875,"Todd Helton",432,115732
2011,"Chris Parmelee","MIN",88,0.2705,0.4709,0.3175,0.164,0.2328,168.346636839267,82.34748337165193,144.85295279079847,157.45387154338354,132.60172855837632,98.31942913555201,86.72515399997964,116.77600325182826,148.0312033549965,77.99796939256048,96.61152520283855,137.10654340870857,"Chris Parmelee",2554,476633
2016,"Mike Trout","LAA",681,0.2298,0.3875,0.4053,0.1881,0.2595,212.39383428940332,97.38156712210298,129.78161929619475,141.20105656234864,124.26057697388622,107.97569516481376,93.72784975526095,103.1792545266361,145.68647368756632,99.02067594355766,132.5736142946643,136.907502439425,"Mike Trout",10155,545361
2008,"Albert Pujols","STL",641,0.2143,0.4098,0.4749,0.1587,0.1989,178.01448362873035,49.13811550770713,153.06883741838897,185.91358436604918,112.82621298970501,108.05418277157686,92.34025399778884,104.64840023203028,193.11804834204992,116.70685937400648,153.73678045465562,136.17565572255435,"Albert Pujols",1177,405395
2017,"Mike Trout","LAA",507,0.1967,0.3771,0.4019,0.1932,0.2553,220.13034625818776,83.36336691536775,146.40241062352953,186.21729361615132,106.76581126963754,90.44798992061098,84.80519306337317,123.38097876590537,168.93177023808283,99.00470793916658,118.57411275166474,136.1515820806489,"Mike Trout",10155,545361
2017,"Joey Votto","CIN",707,0.1583,0.4185,0.3859,0.1489,0.2075,210.65639344130892,55.896364352917274,132.156553375014,146.4393188516943,105.03364410346241,112.16281652539735,88.15453000679754,107.79011663698385,142.69540560730448,97.46448514033705,112.97516159782602,136.10657705252441,"Joey Votto",4314,458015
2020,"Ke'Bryan Hayes","PIT",95,0.2887,0.4407,0.2462,0.1933,0.2655,102.17915991392748,91.1101125297051,161.99673274103196,175.03797281954368,153.59462518808343,98.89917871757291,111.3723375958253,86.92020109797842,166.14939546939,60.52541609554354,131.4138192647316,135.96879298797452,"Ke'Bryan Hayes",18577,663647
2002,"Manny Ramirez","BOS",518,0.1316,0.4302,0.4545,0.1549,0.2296,167.37568584941025,100.99377397255371,152.13231115158842,185.3085412367567,127.62518477679623,117.87615160854577,105.05726830041122,83.65709890470455,288.68533506272274,103.70623318032028,152.37073781464596,135.64090082559022,"Manny Ramirez",210,120903
